n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,20,78.64123978379538,1542481.5669491559,0.488764021627634,8
2,40,78.64123978379538,1221954.1849458702,0.49282413037354045,12
3,60,78.63602515673357,1221954.1849458702,0.48672437271065633,12
4,80,70.98324072344121,865542.4710657644,0.48849025506509913,16
5,100,47.35036508642506,865542.4710657644,0.5072914180928436,15
6,120,47.35036508642506,864249.2700304568,0.4898371617025184,18
7,140,44.66950654410258,864249.2700304568,0.4890228887205922,20
8,160,44.66801194997468,864249.2700304568,0.4890228887205922,20
9,180,44.66801194997468,864249.2700304568,0.4890228887205922,14
10,200,44.66801194997468,849400.9706924566,0.4830063108147997,14
